Altium Designer Pick and Place Locations
K:\file\handware\scx10\PCB\Project Outputs for SCX10\Pick Place for SCX10.txt

========================================================================================================================
File Design Information:

Date:       25/02/20
Time:       12:02
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment       Layer    Footprint    Center-X(mm) Center-Y(mm) Rotation Description                       
U8         IR2104        TopLayer SOP-8        24.6380      16.4829      180      ""                                
R13        10R           TopLayer R0603        18.2880      8.2550       270      Resistor                          
D6         1N5819        TopLayer C0603        22.9870      12.9540      180      "1 Amp General Purpose Rectifier" 
D5         1N5819        TopLayer C0603        29.3980      8.2186       270      "1 Amp General Purpose Rectifier" 
C31        1nF           TopLayer C0603        19.9390      14.4780      90       Capacitor                         
C30        0.1uF         TopLayer C0603        31.0490      8.1994       270      Capacitor                         
C29        1nF           TopLayer C0603        19.9390      8.2550       90       Capacitor                         
C28        0.1uF         TopLayer C0603        26.9240      12.9540      180      Capacitor                         
U7         STM32F103C8T6 TopLayer STM-LQFP48-L 37.2961      20.2400      0        ""                                
P7         SW            TopLayer HDR1X4       39.6240      1.5240       360      "Header, 4-Pin"                   
X1         8M            TopLayer XTAL-8M      30.2260      22.7623      270      ""                                
U6         AMS1117-5V    TopLayer SOT-89       47.9065      16.1110      270      ""                                
U5         AMS1117-3.3V  TopLayer SOT-89       47.8700      23.1140      270      ""                                
U4         MP2315        TopLayer TSOT23-8     47.2440      5.3340       360      ""                                
U3         IR2104        TopLayer SOP-8        24.6380      9.5058       180      ""                                
U2         24C02         TopLayer SOP-8        38.4810      11.2660      90       ""                                
U1         ACS712        TopLayer SOP-8        21.6400      22.6060      0        ""                                
S1         SW-PB         TopLayer 7.4V         53.2921      18.5140      90       Switch                            
R35        10K           TopLayer R0603        33.9090      14.3510      180      Resistor                          
R34        7.5K          TopLayer R0603        36.3220      4.8689       270      Resistor                          
R33        75K           TopLayer R0603        43.0411      10.3568      180      Resistor                          
R32        40.2K         TopLayer R0603        37.8460      4.8689       270      Resistor                          
R31        20K           TopLayer R0603        34.7980      4.8689       270      Resistor                          
R30        100K          TopLayer R0603        47.2440      8.2550       180      Resistor                          
R29        20R           TopLayer R0603        48.4514      2.0331       270      Resistor                          
R18        10R           TopLayer R0603        18.2880      17.5640      90       Resistor                          
R17        100K          TopLayer R0603        29.3760      15.2780      90       Resistor                          
R16        10R           TopLayer R0603        18.2880      14.4780      270      Resistor                          
R15        10R           TopLayer R0603        18.2880      11.3360      270      Resistor                          
R14        100K          TopLayer R0603        29.3980      11.3046      90       Resistor                          
R12        10K           TopLayer R0603        43.0530      14.2240      360      Resistor                          
R11        10K           TopLayer R0603        43.0411      12.4460      360      Resistor                          
R10        10K           TopLayer R0603        42.2910      28.9560      90       Resistor                          
R9         10K           TopLayer R0603        34.6740      28.9560      90       Resistor                          
R8         10K           TopLayer R0603        26.9240      28.9560      90       Resistor                          
R7         10K           TopLayer R0603        18.8150      29.0440      90       Resistor                          
R6         2K            TopLayer R0603        47.8790      29.0440      90       Resistor                          
R5         2K            TopLayer R0603        40.1350      28.9560      90       Resistor                          
R4         2K            TopLayer R0603        32.2580      28.9560      90       Resistor                          
R3         2K            TopLayer R0603        24.5110      28.9560      90       Resistor                          
R2         0R/NC         TopLayer R0603        49.7840      27.0130      90       Resistor                          
R1         0R            TopLayer R0603        49.7840      30.4800      90       Resistor                          
Q8         NMOS          TopLayer TO-252       12.5460      29.9720      180      ""                                
Q7         NMOS          TopLayer TO-252       12.5460      14.5627      180      ""                                
Q6         NPN           TopLayer SOT23-3      45.2780      28.9670      90       ""                                
Q5         NPN           TopLayer SOT23-3      37.5680      28.9670      90       ""                                
Q4         NPN           TopLayer SOT23-3      29.7180      28.9670      90       ""                                
Q3         NPN           TopLayer SOT23-3      21.8430      28.9670      90       ""                                
Q2         NMOS          TopLayer TO-252       12.5460      22.2673      180      ""                                
Q1         NMOS          TopLayer TO-252       12.5460      6.8580       180      ""                                
P6         7.4V          TopLayer 7.4V         53.2921      26.6980      270      "Header, 2-Pin"                   
P5         7.4V          TopLayer 7.4V         53.2921      10.3860      90       "Header, 2-Pin"                   
P2         "Header 3"    TopLayer HDR1X3       16.6370      1.5240       180      "Header, 3-Pin"                   
P1         "Header 4"    TopLayer XH2.5-4P     27.4955      2.5621       360      "Header, 4-Pin"                   
LED4       B_LED         TopLayer XH2.5-2P     44.9580      33.7818      0        "Header, 2-Pin"                   
